id,sex,taglft,tagrt,colours,year,squirrel_id,litter_id,sq_id,observer,observer software,ageclass,cohort,age,grid,trialnumber,trialdate,videodate,trialtime,midden,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,Exclude_unless_video_reanalyzed,Exclude_reason,Proceed_with_caution,Proceed_with_caution_reason,Last_Edited,Comments,...39,...40
68,M,M6372,M7840,Y!/P!,2021,24850,9691,NA,DH,BORIS,J,2021,0,KL,NA,6/30/21,10/20/21,NA,5,35.584,3,3,14.265,0,10.267,379.258,450,7.512,289.451,0,300,68.321,300,NA,N,NA,N,NA,NA,NA,NA,NA
72,F,M2633,M7593,R/Y*,2021,25239,9851,NA,DH,BORIS,J,2021,0,KL,NA,7/15/21,11/2/21,12:44,C13,172.616,36,4,233.767,142.926,9.254,6.496,450,0,300,0,300,23.769,300,NA,N,NA,N,NA,NA,NA,NA,NA
74,F,F9580,M7944,G/R*,2021,25242,9866,NA,DH,BORIS,J,2021,0,KL,NA,7/4/21,11/6/21,NA,F3,173.544,25,2,239.374,58.024,17.511,77.519,450,0,299.909,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
76,F,F9578,M7422,R/R*,2021,25276,9858,NA,DH,BORIS,J,2021,0,KL,NA,7/10/21,11/6/21,NA,I2.,120.653,23,8,297.489,42.996,29.112,60.001,450,300,0,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
81,M,M6898,M6899,W!/W!,2021,24839,NA,NA,DH,BORIS,J,2021,0,KL,NA,6/20/21,11/10/21,NA,P1,93.34,11,6,66.019,5.748,24.266,294.279,450,4.025,269.468,0,300,47.799,300,NA,N,NA,N,NA,NA,NA,NA,NA
67,M,-,M7975,-/R,2021,25335,9853,NA,DH,BORIS,J,2021,0,KL,NA,7/28/21,10/18/21,NA,-14,35.172,6,3,414.072,27.236,0,331.75,450,202.184,77.754,10,7.512,4.756,300,NA,N,NA,N,NA,NA,NA,NA,NA
48,M,S0995,M7227,W!/O!,2021,24680,NA,NA,DH,BORIS,A,2020,1,JO,NA,6/20/21,10/5/21,NA,C.2,11.5,2,3,60.8,3.496,13.75,399.13,450,1.499,297.75,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
62,NA,M6921,M0929,O/Y,2021,25195,NA,NA,DH,BORIS,A,2020,1,JO,NA,6/20/21,10/17/21,NA,L12,84.589,9,7,44.264,13.253,131.365,155.46,450,138.77,121.497,0,300,0.251,300,NA,N,NA,N,NA,NA,NA,NA,NA
64,M,F9840,F9842,B!/B!,2021,24357,9106,NA,DH,BORIS,A,2020,1,JO,NA,6/21/21,10/17/21,NA,O12,126.598,30,12,281.003,91.853,27.255,99.372,450,171.357,30.018,11,93.344,0.499,208.194,NA,N,NA,Y,MIS incomplete,NA,"MIS incomplete, squirrel escaped",NA,NA
57,F,M7384,M7507,B/B*,2021,25234,9824,NA,DH,BORIS,J,2021,0,JO,NA,6/30/21,10/15/21,NA,K.7.,100.916,31,9,238.833,44.261,15.531,81.504,450,0,299.993,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
69,M,M7456,M7455,R*/G*,2021,25256,9834,NA,DH,BORIS,J,2021,0,KL,NA,7/10/21,10/20/21,12:24,B2,146.841,42,1,241.489,120.588,0,67.011,450,281.729,0,1,179.435,14.268,300,NA,N,NA,N,NA,NA,NA,NA,NA
6,NA,M7896,M6780,B/Bk,2020,NA,NA,NA,DH,BORIS,J,2020,0,JO,1,7/2/20,11/17/21,11:33,I.16.,0,0,0,450,4.501,0,423.129,450,2,0,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
16,NA,M6276,M6277,R!/G!,2020,NA,NA,NA,DH,BORIS,J,2020,0,JO,1,6/23/20,7/13/21,12:20,T13,140.33,85,6,126.094,67.029,5.003,19.515,450,133.468,137.269,16,5.787,5.536,300,NA,N,NA,N,NA,NA,NA,NA,NA
24,NA,-,M6964,-/Bk,2020,NA,NA,NA,DH,BORIS,J,2020,0,KL,1,6/24/20,11/29/21,11:20,H6,201.665,33,14,80.764,43.501,33.525,109.873,450,151.035,123.735,15,28.028,0.5,300,NA,N,NA,N,NA,NA,NA,NA,NA
39,NA,J3228,J3227,Y/Y,2020,NA,NA,NA,DH,BORIS,J,2020,0,SU,1,6/24/20,12/13/21,12:53,I2,212.488,50,7,100.808,61.054,5.002,43.772,402.374,268.747,1.75,3,146.002,5.501,300,NA,N,NA,N,NA,NA,NA,NA,NA
65,NA,M8173,M7938,O/G*,2021,NA,NA,NA,DH,BORIS,J,2021,0,KL,NA,7/13/21,10/19/21,NA,-114,2.001,1,0,447.194,10.971,0,370.646,449.676,206.888,74.552,8,61.815,61.064,300,NA,N,NA,N,NA,NA,NA,NA,NA
75,NA,M7386,M7466,B/R*,2021,NA,NA,NA,DH,BORIS,J,2021,0,KL,NA,7/10/21,11/6/21,NA,I2.,7.985,0,0,0,0,0,441.744,450,0,300,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
78,NA,M7515,F9579,Y*/B,2021,NA,NA,NA,DH,BORIS,J,2021,0,KL,NA,7/8/21,11/9/21,NA,N1.,152.758,74,2,267.361,91.274,5.506,27.507,450,196.945,65.023,72,1.5,1,300,NA,N,NA,N,NA,NA,NA,NA,NA
