datetime,odba,odba_max,temp,nest,awake,asleep,odba_z
03-May-2015 02:26:00,0.06,0.12,20.67,Nest,0,1,-0.572732109170056
03-May-2015 02:27:00,0.06,1.13,20.79,Nest,0,1,-0.572732109170056
03-May-2015 02:28:00,0,0.44,20.91,Nest,0,1,-0.675382735533556
03-May-2015 02:29:00,0.13,0.31,21.16,Nest,0,1,-0.452973045079305
03-May-2015 02:30:00,0.38,0.75,21.03,Nest,1,0,-0.0252621018980524
03-May-2015 02:31:00,0.0599999999999999,1.12,21.03,Nest,0,1,-0.572732109170056
03-May-2015 02:32:00,0.31,1.82,21.03,Nest,1,0,-0.145021165988803
03-May-2015 02:33:00,1.74,2.06,21.03,Nest,1,0,2.30148542900796
03-May-2015 02:34:00,0.06,0.86,21.03,Nest,0,1,-0.572732109170056
03-May-2015 02:35:00,0.31,0.82,20.91,Nest,1,0,-0.145021165988803
03-May-2015 02:36:00,0.81,1.5,20.91,Nest,1,0,0.710400720373702
03-May-2015 02:37:00,0.25,1.19,21.03,Nest,1,0,-0.247671792352304
03-May-2015 02:38:00,0.18,0.31,21.52,Nest,0,1,-0.367430856443055
03-May-2015 02:39:00,0.14,0.57,21.52,Nest,0,1,-0.435864607352055
03-May-2015 02:40:00,0.07,0.25,21.89,Nest,0,1,-0.555623671442806
03-May-2015 02:41:00,0.25,0.32,22.01,Nest,1,0,-0.247671792352304
03-May-2015 02:42:00,0.32,0.32,22.01,Nest,1,0,-0.127912728261553
03-May-2015 02:43:00,0.49,0.81,22.01,Nest,1,0,0.162930713101699
03-May-2015 02:44:00,0.42,0.87,22.01,Nest,1,0,0.043171649010948
03-May-2015 02:45:00,0,0.43,22.01,Nest,0,1,-0.675382735533556
03-May-2015 02:46:00,0.07,0.63,21.65,Nest,0,1,-0.555623671442806
03-May-2015 02:47:00,0.31,0.69,21.77,Nest,1,0,-0.145021165988803
03-May-2015 02:48:00,0.19,0.38,21.52,Nest,0,1,-0.350322418715804
03-May-2015 02:49:00,0.0600000000000001,0.33,21.52,Nest,0,1,-0.572732109170056
03-May-2015 02:50:00,0.07,0.37,21.4,Nest,0,1,-0.555623671442806
03-May-2015 02:51:00,0.56,0.63,21.28,Nest,1,0,0.28268977719245
03-May-2015 02:52:00,0,0.0600000000000001,21.4,Nest,0,1,-0.675382735533556
03-May-2015 02:53:00,0.06,0.12,21.16,Nest,0,1,-0.572732109170056
03-May-2015 02:54:00,0,0.13,20.91,Nest,0,1,-0.675382735533556
03-May-2015 02:55:00,0,0.06,21.03,Nest,0,1,-0.675382735533556
03-May-2015 02:56:00,0.12,1.44,20.91,Nest,0,1,-0.470081482806555
03-May-2015 02:57:00,0.18,0.32,20.79,Nest,0,1,-0.367430856443055
03-May-2015 02:58:00,0,0.19,20.91,Nest,0,1,-0.675382735533556
03-May-2015 02:59:00,0.0599999999999999,0.2,21.03,Nest,0,1,-0.572732109170056
03-May-2015 03:00:00,0,0.44,21.03,Nest,0,1,-0.675382735533556
03-May-2015 03:01:00,0.06,0.26,21.16,Nest,0,1,-0.572732109170056
03-May-2015 03:02:00,0.0600000000000001,0.18,21.03,Nest,0,1,-0.572732109170056
03-May-2015 03:03:00,0.26,0.63,21.03,Nest,1,0,-0.230563354625054
03-May-2015 03:04:00,0,0.0600000000000001,21.03,Nest,0,1,-0.675382735533556
03-May-2015 03:05:00,0,0.0600000000000001,21.28,Nest,0,1,-0.675382735533556
03-May-2015 03:06:00,0,1.14,21.28,Nest,0,1,-0.675382735533556
03-May-2015 03:07:00,0.62,0.87,21.28,Nest,1,0,0.38534040355595
03-May-2015 03:08:00,0.13,0.19,21.03,Nest,0,1,-0.452973045079305
03-May-2015 03:09:00,0,0.07,21.03,Nest,0,1,-0.675382735533556
03-May-2015 03:10:00,0,0.13,20.91,Nest,0,1,-0.675382735533556
03-May-2015 03:11:00,0.12,0.81,20.55,Nest,0,1,-0.470081482806555
03-May-2015 03:12:00,0,0.06,20.42,Nest,0,1,-0.675382735533556
03-May-2015 03:13:00,0,0.06,20.06,Nest,0,1,-0.675382735533556
03-May-2015 03:14:00,0.18,0.63,20.06,Nest,0,1,-0.367430856443055
03-May-2015 03:15:00,0,0.13,20.18,Nest,0,1,-0.675382735533556
03-May-2015 03:16:00,0.07,0.51,20.42,Nest,0,1,-0.555623671442806
03-May-2015 03:17:00,0,0.51,20.79,Nest,0,1,-0.675382735533556
03-May-2015 03:18:00,0.12,0.75,20.79,Nest,0,1,-0.470081482806555
03-May-2015 03:19:00,0,0.39,21.03,Nest,0,1,-0.675382735533556
03-May-2015 03:20:00,0.06,0.82,21.03,Nest,0,1,-0.572732109170056
03-May-2015 03:21:00,0,0.31,20.91,Nest,0,1,-0.675382735533556
03-May-2015 03:22:00,0.0600000000000001,0.38,20.55,Nest,0,1,-0.572732109170056
03-May-2015 03:23:00,0.0600000000000001,0.12,20.06,Nest,0,1,-0.572732109170056
03-May-2015 03:24:00,0.0600000000000001,0.13,19.69,Nest,0,1,-0.572732109170056
03-May-2015 03:25:00,0.12,0.13,19.45,Nest,0,1,-0.470081482806555
03-May-2015 03:26:00,0,0.12,19.2,Nest,0,1,-0.675382735533556
03-May-2015 03:27:00,0,0.12,19.08,Nest,0,1,-0.675382735533556
03-May-2015 03:28:00,0,0.5,19.2,Nest,0,1,-0.675382735533556
03-May-2015 03:29:00,0,0.12,19.2,Nest,0,1,-0.675382735533556
03-May-2015 03:30:00,0,0.56,19.08,Nest,0,1,-0.675382735533556
03-May-2015 03:31:00,0.0600000000000001,0.39,19.08,Nest,0,1,-0.572732109170056
03-May-2015 03:32:00,0.06,0.25,19.45,Nest,0,1,-0.572732109170056
03-May-2015 03:33:00,0,1,19.69,Nest,0,1,-0.675382735533556
03-May-2015 03:34:00,0,1.82,19.81,Nest,0,1,-0.675382735533556
03-May-2015 03:35:00,0.12,0.31,19.94,Nest,0,1,-0.470081482806555
03-May-2015 03:36:00,0.06,0.63,20.42,Nest,0,1,-0.572732109170056
03-May-2015 03:37:00,0.07,0.07,20.55,Nest,0,1,-0.555623671442806
03-May-2015 03:38:00,0,0.06,20.55,Nest,0,1,-0.675382735533556
03-May-2015 03:39:00,0,0.06,20.55,Nest,0,1,-0.675382735533556
03-May-2015 03:40:00,0.06,0.06,20.3,Nest,0,1,-0.572732109170056
03-May-2015 03:41:00,0.56,0.94,20.18,Nest,1,0,0.28268977719245
03-May-2015 03:42:00,0.18,0.88,20.3,Nest,0,1,-0.367430856443055
03-May-2015 03:43:00,0.06,0.3,20.3,Nest,0,1,-0.572732109170056
03-May-2015 03:44:00,0,0.43,20.42,Nest,0,1,-0.675382735533556
03-May-2015 03:45:00,0,0.12,20.55,Nest,0,1,-0.675382735533556
03-May-2015 03:46:00,0,0.26,20.55,Nest,0,1,-0.675382735533556
03-May-2015 03:47:00,0.12,0.44,20.67,Nest,0,1,-0.470081482806555
03-May-2015 03:48:00,0,0.07,20.79,Nest,0,1,-0.675382735533556
03-May-2015 03:49:00,0,0.07,20.91,Nest,0,1,-0.675382735533556
03-May-2015 03:50:00,0.06,0.07,21.03,Nest,0,1,-0.572732109170056
03-May-2015 03:51:00,0.51,2.12,21.03,Nest,1,0,0.197147588556199
03-May-2015 03:52:00,1.5,1.5,20.91,Nest,1,0,1.89088292355396
03-May-2015 03:53:00,0.69,1.5,20.55,Nest,1,0,0.505099467646701
03-May-2015 03:54:00,0.38,0.82,20.55,Nest,1,0,-0.0252621018980524
03-May-2015 03:55:00,0.49,1.63,20.67,Nest,1,0,0.162930713101699
03-May-2015 03:56:00,0.13,1.5,20.91,Nest,0,1,-0.452973045079305
03-May-2015 03:57:00,0.12,0.19,21.03,Nest,0,1,-0.470081482806555
03-May-2015 03:58:00,0.0600000000000001,0.44,20.91,Nest,0,1,-0.572732109170056
03-May-2015 03:59:00,0.37,0.93,21.03,Nest,1,0,-0.0423705396253025
03-May-2015 04:00:00,0.0600000000000001,0.56,21.16,Nest,0,1,-0.572732109170056
03-May-2015 04:01:00,0,0.43,20.91,Nest,0,1,-0.675382735533556
03-May-2015 04:02:00,0,0.0600000000000001,20.55,Nest,0,1,-0.675382735533556
03-May-2015 04:03:00,0.06,0.63,20.67,Nest,0,1,-0.572732109170056
03-May-2015 04:04:00,0,0.07,20.67,Nest,0,1,-0.675382735533556
03-May-2015 04:05:00,0.07,0.07,20.79,Nest,0,1,-0.555623671442806
03-May-2015 04:06:00,0.07,0.07,20.55,Nest,0,1,-0.555623671442806
03-May-2015 04:07:00,0.0600000000000001,0.19,20.55,Nest,0,1,-0.572732109170056
03-May-2015 04:08:00,0.0600000000000001,0.13,20.55,Nest,0,1,-0.572732109170056
03-May-2015 04:09:00,0.06,1.5,20.3,Nest,0,1,-0.572732109170056
03-May-2015 04:10:00,0,0.25,20.3,Nest,0,1,-0.675382735533556
03-May-2015 04:11:00,0.0600000000000001,0.95,20.06,Nest,0,1,-0.572732109170056
03-May-2015 04:12:00,0.13,0.56,20.06,Nest,0,1,-0.452973045079305
03-May-2015 04:13:00,0.0599999999999999,0.45,20.06,Nest,0,1,-0.572732109170056
03-May-2015 04:14:00,0,0.45,20.18,Nest,0,1,-0.675382735533556
03-May-2015 04:15:00,0,0.12,20.55,Nest,0,1,-0.675382735533556
03-May-2015 04:16:00,0,0.06,20.55,Nest,0,1,-0.675382735533556
03-May-2015 04:17:00,0.63,1.5,20.55,Nest,1,0,0.4024488412832
03-May-2015 04:18:00,0,0.38,20.55,Nest,0,1,-0.675382735533556
03-May-2015 04:19:00,0,0.07,20.67,Nest,0,1,-0.675382735533556
03-May-2015 04:20:00,0.12,0.57,20.79,Nest,0,1,-0.470081482806555
03-May-2015 04:21:00,0,0.13,20.91,Nest,0,1,-0.675382735533556
03-May-2015 04:22:00,0.69,1.08,20.79,Nest,1,0,0.505099467646701
03-May-2015 04:23:00,0.14,0.45,20.67,Nest,0,1,-0.435864607352055
03-May-2015 04:24:00,0,0.14,20.42,Nest,0,1,-0.675382735533556
03-May-2015 04:25:00,0,0.14,20.42,Nest,0,1,-0.675382735533556
03-May-2015 04:26:00,0.07,0.14,20.18,Nest,0,1,-0.555623671442806
03-May-2015 04:27:00,0.06,0.07,20.06,Nest,0,1,-0.572732109170056
